name,chinese_name,status_type,year_born,gender,native_city,native_province,bio,photo_link,photo_name,last_position_held,chinese_position,organization,chinese_organization,corruption_location,sentencing_status,investigated_date,investigated_link,investigated_ccdi,investigated_quote,expelled_date,expelled_link,expelled_ccdi,expelled_quote,sentenced_date,sentenced_link,sentenced_ccdi,sentence_details,sentenced_quote,total_yuan_corrupted,sector,sector_two,sector_three,family_connections,city_connections,province_connections,national_connections,other_connections,dead_date,dead_link,dead_details,which_tiger,previous_positions,naked_official
Zhou Xiaode,周孝德,Fly,,Male,,,,http://szysfzx.xaut.edu.cn/szdw_show.aspx?id=119,Zhou-Xiaode.jpg,Party Secretary,党委书记,Xi'an University of Technology,西安理工大学,Shaanxi,Investigated,3/4/2015,http://politics.people.com.cn/n/2015/0304/c1001-26636868.html,http://www.ccdi.gov.cn/yaowen/201503/t20150304_135085.html,Zhou Xiaode received party disciplinary warning for misconduct.,,,,,,,,,,,,Education,,,,,,,,,,,,
Li Yanguo,李延国,Fly,,Male,,,,,,Secretary,书记,Zhaoyuan County Party Committee,肇源县委,Heilongjiang,Investigated,3/5/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116657.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116657.html,,,,,,,,,,,,,,,,,,,,,,,,,
Meng Biguang,孟必光,Fly,1958,Male,Lianghe,Yunnan,,http://h.hiphotos.baidu.com/baike/w%3D268/sign=23af412a30a85edffa8cf925715509d8/6609c93d70cf3bc700a3e596d500baa1cd112a2c.jpg,Meng-Biguang.jpg,Chairman,原主席,CPPCC of Dehong Prefecture,德宏州政协,Yunnan,Sentenced,3/5/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116658.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116658.html,,4/30/2015,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117599.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117599.html,,3/6/2016,http://www.chinanews.com/gn/2016/03-06/7785932.shtml ,http://www.chinanews.com/gn/2016/03-06/7785932.shtml ,12 years imprisonment ,,"600,000",,,,,,,,,,,,,,
Chen Qiuhua,陈秋华,Fly,1964,Male,Loudi,Hunan,,http://baike.baidu.com/subview/783021/10767393.htm,Chen-Qiuhua.jpg,"Party Secretary, Director-general","厅长, 党组书记",Guangxi Department of Forestry,广西壮族自治区林业厅,Guangxi,Sentenced,3/6/2015,http://news.xinhuanet.com/english/2015-07/23/c_134440005.htm,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116659.html,,6/25/2015,http://news.xinhuanet.com/english/2015-07/23/c_134440005.htm,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117619.html,,12/9/2016,http://news.xinhuanet.com/politics/2016-12/09/c_1120089945.htm,,17 years imprisonment,,"22,255,847",,Environment,,,,,,,,,,,,
Yang Yong,杨永,Fly,1959,Male,Yunan,Guangdong,,http://baike.baidu.com/subview/76609/15916469.htm#viewPageContent,,Vice Chairman,副主席,Zhaoqing City Committee of the Chinese People's Political Consultative Conference,肇庆市政协,Guangdong,Expelled,3/8/2015,http://www.chinadaily.com.cn/china/2015twosession/2015-03/08/content_19751807.htm,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116660.html,,4/24/2015,http://www.chinadaily.com.cn/china/2015twosession/2015-03/08/content_19751807.htm,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117593.html,,,,,,,,,,,,,,,,,,,,,
Chen Yanhua,陈延华,Fly,1957,Male,Jieyang,Guangdong,,http://baike.baidu.com/link?url=vptmNEO6iju8mDs0Y4NlGjcESnKuWmacXfT4qjyvrgDYSoypkhyhoexfz6pDqDorc48RN3MJ947-fSvbTIlEdTeOPU28TXZqEWJBOLEzHHm,Chen-Yanhua.jpg,Vice Chairman,副主任,Standing Committee of the Jieyang City People's Congress,揭阳市人大常委会,Guangdong,Expelled,3/8/2015,http://www.chinadaily.com.cn/china/2015twosession/2015-03/08/content_19751807.htm,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116661.html,,4/7/2015,http://www.chinadaily.com.cn/china/2015twosession/2015-03/08/content_19751807.htm,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117579.html,,,,,,,,,,,,Qiu He,,,,,,,,,
Zhang Dawei,张大伟,Fly,1970,Male,,Anhui,"Included in the Operation Skynet round-up, believed to be in Australia, Canada, Hong Kong, or the U.S.",,,General Manager,总经理,Yunnan Yundian Tsinghua Tongfang Co Ltd,云南云电同方科技有限公司,Yunnan,Expelled,3/9/2015,http://www.mps.gov.cn/n2256936/n4904359/n4904360/c4915778/content.html,https://web.archive.org/web/20170128204016/http://www.ccdi.gov.cn/xwtt/201504/t20150422_55183.html,,10/8/2016,http://www.ccdi.gov.cn/gzdt/gjhz/201610/t20161008_153562.html,http://www.ccdi.gov.cn/gzdt/gjhz/201610/t20161008_153562.html,,,,,,,,,,Sky Net,,,,,,,,,,,
Li Zhi,栗智,Tiger,1950,Male,Lixing,Anhui,,http://politics.people.com.cn/n/2015/0311/c1001-26676294.html,Li-Zhi.jpg,Party Secretary,副主任,Xinjiang Uygur Autonomous Region People's Congress Standing Committee,新疆维吾尔自治区人大常委会,Xinjiang,Sentenced,3/11/2015,http://www.ccdi.gov.cn/scdc/zggb/zjsc/201607/t20160704_115858.html,,,7/6/2015,http://www.scmp.com/news/china/policies-politics/article/1833390/communist-party-chief-time-deadly-2009-riots-western,http://www.ccdi.gov.cn/scdc/zggb/djcf/201607/t20160704_115987.html,,11/18/2016,http://china.caixin.com/2016-11-18/101009146.html,,"12 years imprisonment, 1,000,000 RMB fine",,,,,,,,,,,,,,Li Zhi,,
Yu Lifang,于丽芳,Fly,1954,Female,,Jilin,Yu Lifang's husband is the tiger Su Rong.,http://baike.baidu.com/view/7862073.htm,Yu-Lifang.jpg,Director of the board's bank audit committee (sinecure),董事会审计委员会主任,Minsheng Bank,民生银行,Jiangxi,Investigated,3/13/2015,http://www.ecns.cn/2015/03-31/160048.shtml,http://news.xinhuanet.com/legal/2015-11/17/c_128438633.htm,"Yu also took advantage of [her husband] Su's power to involve herself in real estate, construction project and mineral resource projects",,,,,,,,,,,,Jiangxi Group,Banking,Su Rong,,,,,,,,Su Rong,,
Liu Mingshu,刘明书,Fly,1962,Male,Liangshan Yi Autonomous Prefecture,Sichuan,,http://baike.baidu.com/link?url=CbXC9pGbGv1mL1LCzB3Aod6LY2fPUbyejzyPbbpd4w0l25pKEVQq7eJdCDo8s3ZVXhocPxNq1GGJv4mIfi5NWrNHOzu1RnCd-v7uFsWYWxa,Liu-Mingshu.jpg,Deputy Secretary of the CPC Leading Group,"党组副书记, 副主任",Liangzhou City People's Congress Standing Committee,四川省凉山州人大常委会,Sichuan,Investigated,3/13/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116662.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116662.html,,,,,,,,,,,,,,,,,,,,,,,,,
Xu Jianyi,徐建一,Tiger,1953,Male,Fushan,Shandong,"According to the South China Morning Post, “Xu started at FAW as an engineer in the 1970s. He worked his way up to deputy general manager before joining the Jilin government in 2003. He held senior positions in the Communist Party in Jilin, before returning to FAW as its general manager.”",http://politics.people.com.cn/n/2015/0315/c1001-26695960.html,Xu-Jianyi.jpg,"Chairman, Party Secretary","董事长, 党委书记",FAW Group,中国第一汽车集团公司,Jilin,Sentenced,3/15/2015,http://www.scmp.com/news/china/article/1738523/faw-chairman-xu-jianyi-under-investigation-graft-probe-watchdog-says,http://www.ccdi.gov.cn/scdc/zggb/zjsc/201607/t20160704_115860.html,,8/13/2015,http://uk.reuters.com/article/2015/08/13/uk-china-corruption-autos-idUKKCN0QI08J20150813,http://www.ccdi.gov.cn/scdc/zggb/djcf/201607/t20160704_115996.html,,2/9/2017,http://news.xinhuanet.com/politics/2017-02/09/c_129473186.htm,http://www.ccdi.gov.cn/yaowen/201702/t20170209_145643.html,11 years and 6 months imprisonment,,"12,189,740",,Automobile Industry,SOE,,,,,"Li Wu, An Dewu",,,,Xu Jianyi,,
Liao Yongyuan,廖永远,Tiger,1962,Male,Songzi,Hubei,,http://politics.people.com.cn/n/2015/0316/c1001-26701679.html,Liao-Yongyuan.jpg,General Manager,总经理,CNPC,中国石油天然气集团公司,Beijing,Sentenced,3/16/2015,http://www.scmp.com/news/china/article/1740964/two-senior-regional-managers-china-national-petroleum-corp-latest-face,http://www.ccdi.gov.cn/scdc/zggb/zjsc/201607/t20160704_115861.html,,6/15/2015,http://www.heraldsun.com.au/business/breaking-news/deputy-head-of-china-business-regulator-to-be-prosecuted-for-graft/story-fnn9c0hb-1227398832640,http://www.ccdi.gov.cn/scdc/zggb/djcf/201607/t20160704_115984.html,,1/19/2017,http://www.chinanews.com/sh/2017/01-19/8129631.shtml,http://www.ccdi.gov.cn/yaowen/201701/t20170119_145384.html,"15 years imprisonment, 1,500,000 RMB fine",,"13,394,101",Petroleum,CNPC,Adultery,,Luo Weizhong,,,,,,,Liao Yongyuan,,
Dai Haibo,戴海波,Fly,1962,Male,Jingjiang,Jiangsu,,http://baike.baidu.com/link?url=jZCyH96cUAYez8EK3KOomqU1q5VssW3PobiCTa_egRP7uGi1SLkhVNfJRfEVKcMjagLzN4GgJWOqtlvVnQwB4q,Dai-Haibo.jpg,Executive Deputy Director,副秘书长,Shanghai Municipal Peopl's Government,上海市政府,Shanghai,Sentenced,3/16/2015,http://www.scmp.com/news/china/article/1740610/shanghai-ftz-ex-boss-dai-haibo-faces-formal-graft-probe-blow-struggling,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116663.html,,,,,,6/2/2017,http://news.xinhuanet.com/2017-06/02/c_1121078052.htm,,"9 years imprisonment, 2,000,000 RMB fine",,"9,900,000",,,,,Ai Baojun,,,Feng Jun,,,,,,
Zhao Shilan,赵世兰,Fly,1954,Female,,,Zhao is the ex-wife of Qiao Jianjun. She fled to the U.S. where she was arrested on charges of fraudulently obtaining visas for herself and Qiao.,http://www.wailaike.net/news-1315460-0.html,Zhao-Shilan.jpg,Former spouse of Qiao Jianjun,乔建军的前配偶,,,Henan,Expelled,3/17/2015,http://www.wsj.com/articles/u-s-indicts-ex-chinese-government-official-on-money-laundering-charges-1426688270,,,3/17/2015,http://www.justice.gov/usao-cdca/pr/fugitive-chinese-official-and-former-wife-named-grand-jury-indictment-charging,http://www.ccdi.gov.cn/special/ztzz/ztzzjxs_ztzz/201510/t20151029_64210.html,,,,,,,,,Sky Net,Spouses,Qiao Jianjun,,,,,,,,,,
Qiu Xuhui,仇旭辉,Fly,1962,Male,,,,http://baike.baidu.com/link?url=JJy2XpCRD6GAOTFPoiapVnGsLvodsQPggY4qQ5IYoikGEB7GXg1qCRU5Yv7NrdlrAf1w4OE35s13VcaKGipQza,,"Party Member, Chief Economist","党组成员, 总经济师",Ningxia Economic and Information Technology Commission,宁夏区经信委,Ningxia,Sentenced,3/17/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116664.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116664.html,,,,,,1/5/2017,http://www.legaldaily.com.cn/index/content/2017-01/05/content_6944133.htm?node=20908,,"8 years imprisonment,  500,000 RMB fine",,"4,801,302",Real Estate,,,,,,,,,,,,,
Fu Yi(1),傅怡,Tiger,1953,Male,Jiang,Shanxi,,http://baike.baidu.com/view/4813389.htm,Fu-Yi1.jpg,"Major General, Deputy Commander","少将, 原副司令员",Zhejiang Provincial Military Region (PLA),浙江省军区,Zhejiang,Investigated,3/17/2015,http://www.scmp.com/news/china/article/1739976/ex-provincial-military-chief-under-investigation-corruption-report,http://www.chinanews.com/mil/2015/05-30/7311337.shtml,,,,,,,,,,,,Military,,,,,,,"Guo Zhenggang,Zhou Minggui",,,,,,
Xie Xinsong,谢新松,Tiger,1971,Male,Shuyang,Jiangsu,,http://www.baike.com/wiki/%25E8%25B0%25A2%25E6%2596%25B0%25E6%259D%25BE&prd=so_1_doc,,"Standing Committee Member, Deputy Mayor","常委, 副市长","Kunming City Party Committee, Kunming city",云南省昆明市委,Yunnan,Sentenced,3/18/2015,http://www.scmp.com/news/china/article/1741240/deputy-mayor-chinese-city-kunming-probed-corruption,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116665.html,,10/10/2015,http://www.scmp.com/news/china/article/1741240/deputy-mayor-chinese-city-kunming-probed-corruption,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117661.html,,12/15/2016,http://www.thepaper.cn/newsDetail_forward_1590375,,"10 years and 6 months imprisonment, 1,000,000 RMB fine",,,,,,,Qiu He,,,,,,,,,
Wang Disheng,王迪生,Fly,1955,Male,Hengyang,Hunan,,http://baike.baidu.com/link?url=RM8HM9Fswk2znM4iHNYb6VTTNguExJktoRgDeg_2zFbRcLY6lNpBTcqup2FOUyRwkp9rhfQGKN88oC2Eb1VlNs0jCEPSUUqPXM6fOMMnkIy,,Party Secretary,"原党组书记, 局长",Hunan Non-ferrous Geology and Exploration Bureau,湖南省有色地质勘查局,Hunan,Expelled,3/18/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116666.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116666.html,,7/1/2016,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160708_117778.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160708_117778.html,,,,,,,,,,,,,,,,,,,,,
Wang He,王和,Fly,,Male,,,,,,Associate Counsel,副巡视员,Guizhou Power Grid Corporation,贵州电网公司,Guizhou,Investigated,3/18/2015,http://news.xinhuanet.com/politics/2015-03/18/c_127595265.htm,http://www.ccdi.gov.cn/scdc/zyyj/djcf/201607/t20160704_116136.html,Wang He was demoted.,,,,,,,,,,,,SOE,,,,,,,,,,,,
Qiao Jianjun,乔建军,Fly,1963,Male,Shangshui,Henan,,http://baike.baidu.com/subview/2018375/10085360.htm,,Director,主任,Sinograin Zhoukou City Depot,中储粮河南周口直属库,Henan,Investigated,3/18/2015,http://www.wsj.com/articles/u-s-indicts-ex-chinese-government-official-on-money-laundering-charges-1426688270,https://web.archive.org/web/20170128204016/http://www.ccdi.gov.cn/xwtt/201504/t20150422_55183.html,,,,,,,,,,,,,Sky Net,Spouses,Zhao Shilan,,,,,,,,,,
An Wenhua,安文华,Fly,1963,Male,Lanzhou,Gansu,,,,Deputy General Manager,副总经理,China National Petroleum Company Tarim Branch,中石油塔里木油田分公司,Xinjiang,Investigated,3/18/2015,http://www.scmp.com/news/china/article/1740964/two-senior-regional-managers-china-national-petroleum-corp-latest-face,http://www.ccdi.gov.cn/scdc/zyyj/zjsc/201607/t20160704_116099.html,,,,,,,,,,,,Petroleum,CNPC,,,,,,,,,,,,
Jia Dong,贾东,Fly,,Male,,,,http://news.163.com/15/0318/13/AL0A0UK500014JB5.html,Jia-Dong.jpg,Chief Accountant,总会计师,China National Petroleum Company Tarim Branch,中国石油天然气集团公司塔里木油田分公司,Xinjiang,Investigated,3/18/2015,http://www.scmp.com/news/china/article/1740964/two-senior-regional-managers-china-national-petroleum-corp-latest-face,http://www.ccdi.gov.cn/yaowen/201503/t20150317_135259.html,,,,,,,,,,,,Petroleum,CNPC,,,,,,,,,,,,
Liu Weigao,刘卫高,Fly,1968,Male,Yiwu,Zhejiang,,http://baike.baidu.com/view/2463916.htm,,Chairman,董事长,Zhonghao Commercial Group,中豪商业集团有限公司,Jiangsu,Investigated,3/18/2015,http://www.scmp.com/news/china/article/1741240/deputy-mayor-chinese-city-kunming-probed-corruption,http://opinion.people.com.cn/n/2015/0318/c1003-26713001.html,,,,,,,,,,,,,,,,,,,Qiu He,,,,,,
Zhang Zhengfan,张正璠,Fly,1966,Male,Yongsheng,Yunnan,,http://www.baike.com/wiki/%25E5%25BC%25A0%25E6%25AD%25A3%25E7%2592%25A0&prd=so_1_doc,,President,董事长（所长）,"China Key System & Integrated Circuit Co., Ltd",中国电子科技集团公司中科芯集成电路股份有限公司（第五十八研究所）,Jiangsu,Investigated,3/18/2015,http://usa.chinadaily.com.cn/epaper/2015-03/19/content_19854652.htm,http://www.ccdi.gov.cn/scdc/zyyj/zjsc/201607/t20160704_116100.html,,9/15/2015,http://www.ccdi.gov.cn/special/zyxszt/2015dyl_zyxs/zgls_2015dyl_zyxs/201509/t20150924_62641.html,http://www.ccdi.gov.cn/special/zyxszt/2015dyl_zyxs/zgls_2015dyl_zyxs/201509/t20150924_62641.html,Zhang Zhengfan was demoted and discipline inspection team recommended his explusion from the party.,,,,,,,,SOE,,,,,,,,,,,,
Liu Xiangdong,刘向东,Fly,1955,Male,Shijiazhuang,Hebei,,http://baike.baidu.com/link?url=Nl_IkGc-hsS3PnUOn0rKQmGbQsEWQDoDqnj0BlP6Bvd4e7YkR_ZJ6F87Feoay03byRARvq0X0dPdf_Zf8AlGAHQsosKvjfmuTHFgWVSuQCG,,Director,"原党组书记, 厅长",Shanxi Environmental Protection Department,山西省环境保护厅,Shanxi,Expelled,3/19/2015,http://www.scmp.com/news/china/article/1742612/environmental-protection-chief-coal-rich-chinese-province-accused,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116669.html,,12/3/2015,http://usa.chinadaily.com.cn/epaper/2015-12/08/content_22662387.htm,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117690.html,,,,,,,,,Environment,,,,,,,,,,,,
Li Shougai,李寿垓,Fly,,Male,,,,http://baike.baidu.com/link?url=hv0z2d9vgLEf8d9xqnKgTA7hrk98Vm-ZuafmAjqzkRbQXbqY04uWWBRXVFGKZC0zXliJCvGAzkRJzyWXYXt9_q,Li-Shougai.jpg,Deputy Bureau Chief,副局长,Hubei Provincial Farms and Land Reclamation Management Bureau,湖北省农垦事业管理局,Hubei,Expelled,3/19/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116667.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116667.html,,9/29/2015,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117654.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117654.html,,,,,,,,,,,,,,,,,,,,,
Zhang Zhongping,张仲平,Fly,1957,Male,,Fujian,,http://baike.baidu.com/link?url=4TcDm7HUV8YnrpUjCXnno-FR_kBa_-Z1alLPGPwetHVALOsAA3-Grfsw1engCk9kRZZaOfRdxdkxStJLs36nQS3XdxY6aCGJZNR6PghUCJkxWgl1P57623N_3M1iYUAW,,Deputy General Manager,副总经理,"Fujian's Construction and Engineering Co., Ltd.",福建建工集团总公司,Fujian,Expelled,3/19/2015,http://www.chinadaily.com.cn/m/fujian/2015-03/20/content_19868217.htm,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116668.html,,8/28/2015,http://www.chinadaily.com.cn/m/fujian/2015-03/20/content_19868217.htm,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117643.html,,,,,,,,,Construction,,,,,,,,,,,,
Gao Baoyu,高宝玉,Fly,1954,Male,Anshan,Liaoning,,http://baike.baidu.com/item/%E9%AB%98%E5%AE%9D%E7%8E%89/16970481#viewPageContent,Gao-Baoyu.jpg,"Party Secretary, Chairman","党委书记, 董事长",Ying Kou Port Group Corp.,营口港务集团有限公司,Liaoning,Sentenced,3/20/2015,http://news.xinhuanet.com/english/2015-07/01/c_134373228.htm,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116672.html,,8/14/2015,http://news.xinhuanet.com/english/2015-07/01/c_134373228.htm,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117638.html,,12/31/2016,http://news.xinhuanet.com/legal/2016-12/31/c_1120226002.htm,,14 years imprisonment,,"26,800,000",,,,,,,,,,,,,,
Zhao Liping,赵黎平,Tiger,1951,Male,Jianping,Liaoning,,http://baike.baidu.com/subview/1006314/10661835.htm,,Vice Chairman,副主席,Inner Mongolia Chinese People's Political Consultative Conference,内蒙古自治区政协,Inner Mongolia,Sentenced,3/20/2015,http://politics.people.com.cn/n/2015/0731/c1001-27392269.html ,,,7/31/2015,http://www.scmp.com/news/china/policies-politics/article/1845438/chinas-anti-corruption-watchdog-accuses-former-senior,http://www.ccdi.gov.cn/scdc/zggb/djcf/201607/t20160704_115991.html,,2/28/2017,http://news.xinhuanet.com/2016-11/11/c_1119893661.htm,http://www.ccdi.gov.cn/yaowen/201702/t20170228_145928.html,"Death sentence, 2 ,000,000 RMB fine",,"23,680,000",,Adultery,,,,,,,5/26/2017,http://www.ccdi.gov.cn/yaowen/201705/t20170526_147454.html,"Zhao Liping was sentenced to death and 2 ,000,000 RMB of his assets were confiscated. Zhao appealled, but the sentence was upheld on February 28, 2017 and he was executed on May 26, 2017",,,
Xu Gang(1),徐钢,Tiger,1958,Male,Pucheng,Fujian,,http://gbzl.people.com.cn/grzy.php?id=130200025,Xu-Gang1.jpg,Deputy Governor,原副省长,Fujian Provincial Government,福建省,Fujian,Sentenced,3/20/2015,http://www.scmp.com/news/china/article/1744130/playing-politics-led-chinese-officials-downfall-graft-probe,http://www.ccdi.gov.cn/scdc/zggb/zjsc/201607/t20160704_115862.html,The downfall of Fujian deputy governor Xu Gang was partly related to his opposition to a controversial port project likely backed by Xi Jinping before he became president,7/27/2015,http://www.globaltimes.cn/content/934024.shtml,http://www.ccdi.gov.cn/scdc/zggb/djcf/201607/t20160704_115990.html,,12/29/2016,http://news.xinhuanet.com/legal/2016-12/30/c_129426629.htm,,"13 years imprisonment, 2,000,000 RMB",,"19,770,000",Real Estate,,,,,,,,,,,Xu Gang(1),,
Xiong Shiping,熊世平,Fly,1961,Male,Jinxian,Jiangxi,,https://gss3.bdstatic.com/7Po3dSag_xI4khGkpoWK1HF6hhy/baike/w%3D268%3Bg%3D0/sign=a5bbad87a1d3fd1f3609a53c08754222/6c224f4a20a446232ec79bcb9122720e0cf3d70d.jpg,,Deputy Inspector,"副巡视员, 主任","Fuzhou City Peopl's Government, Reform and Development Commission","江西省抚州市政府, 抚州市发改委",Jiangxi,Sentenced,3/20/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116671.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116671.html,,,,,,2/13/2017,http://www.chinanews.com/sh/2017/02-13/8148307.shtml,,11 years imprisonment,,"11,785,900",,,,,,,,,,,,,Finance Director at Ramaxel,
Li Guangrong,李光荣,Fly,1953,Male,Jiujiang,Jiangxi,,http://baike.baidu.com/link?url=3cX56VM9LtESmxUBZW9OYwy_ZXBYD4DaLut54n8tpziwuFhM3iq0XxvzxqtUZueSTchEvryAMer5fU2MU--qzvzzOC_1uEaUwslhI_6m857,Li-Guangrong.jpg,Vice Chairman,原副主任,Jiujiang City People's Congress Standing Committee,江西省九江市人大常委会,Jiangxi,Sentenced,3/20/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116671.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116671.html,,,,,,8/4/2016,http://news.xinhuanet.com/legal/2016-08/04/c_1119336881.htm,,"15 years imprisonment,  2,000,000 RMB fine",,"53,650,000",,,,,Lu Guanghui,,,,,,,,,
Lu Guanghui,卢光辉,Fly,1963,Male,Jiujiang,Jiangxi,,http://baike.baidu.com/link?url=BNX9P1me-mpESzPx2wj2QweNEOjBgAjCnxQwxIJd5eCLDx8lqul3T7b5dvc_TfANiRgeJzDo07PmNunLiQzfo6cNYIv6ELjWZIfRoi6rjYO,,Secretary,县委书记,Hukou County Party Committee,江西省九江市湖口县县委,Jiangxi,Investigated,3/20/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116671.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116671.html,,,,,,,,,,,,,,,,Li Guangrong,,,,,,,,,
Tian Zhiming,田志明,Fly,1960,Male,Lucheng,Shanxi,,http://baike.baidu.com/link?url=1eSWTzha40PzyRm_VxjitXpMuVaUYKyUE78gX7WXbXP_yUK4IJxA7cLCy80sU_sBBhOwQkPc6XGkOeWtFQh-YSJBoLD7CG6emQA8prM98x3,,"Standing Committee Member, Secretary","常委, 县委书记","Standing Committee of the Changzhi City Party Committee, Xiangyuan County party Committee","山西省长治市委, 襄垣县委",Shanxi,Expelled,3/23/2015,http://www.fireinews.com/news-9547661.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116670.html,,12/3/2015,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117690.html,http://www.ccdi.gov.cn/scdc/sggb/djcf/201607/t20160704_117690.html,,,,,,,,,,,,,,,,,,,,,
Dong Jingming,董景明,Fly,1960,Male,Chongqing,Chongqing,,http://baike.baidu.com/link?url=lvtXtAub_IaG7uueyDovetW5u171-A-4MkO03zhI2YloC9X2QvIRY7IdVRTgg3OyK3iW2xsK4rVG08Csz1yVRq,Dong-Jingming.jpg,Vice Chairman,"党组成员, 副主任",Wuxi Prefectureal People's Congress,重庆市巫溪县人大常委会,Chongqing,Expelled,3/24/2015,http://www.globaltimes.cn/content/828148.shtml,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116673.html,,6/7/2016,http://district.ce.cn/newarea/sddy/201606/07/t20160607_12624485.shtml,http://www.ccdi.gov.cn/special/jdbg3/cq_bgt/fjbxgdwt_jdbg3/201608/t20160816_85431.html,,,,,,,,,,,,,,,,,,,,,
Liu Shengrui,刘生瑞,Fly,,Male,,,,http://baike.baidu.com/item/%E5%88%98%E7%94%9F%E7%91%9E/16981146,Liu-Shengrui.jpg,Deputy General Manager,副总经理,"Shanxi Coking Coal Group Co., Ltd.",山西焦煤集团有限责任公司,Shanxi,Expelled,3/24/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116674.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116674.html,,1/7/2016,http://www.ccdi.gov.cn/special/jdbg3/sx_bgt/fjbxgdwt_jdbg3/201601/t20160105_72063.html,http://www.ccdi.gov.cn/special/jdbg3/sx_bgt/fjbxgdwt_jdbg3/201601/t20160105_72063.html,,,,,,,,Mining,Shanxi Group,Coal,,,,,,,,,,,
Huang Jianjun,黄建军,Fly,1949,Male,Qingyuan,Guangdong,,http://baike.baidu.com/subview/1245042/7140455.htm#viewPageContent,,Party Committee Secretary,原党委书记,Guangdong Power Grid Corporation,广东电网公司,Guangdong,Investigated,3/24/2015,http://usa.chinadaily.com.cn/china/2015-03/30/content_19951249.htm,http://www.ccdi.gov.cn/yaowen/201503/t20150324_135355.html,,,,,,,,,,,,,SOE,,,,,,,,,,,,
Yang Yaodong,杨耀东,Fly,,Male,,,,,,Party Committee Secretary,"原党委书记, 董事长","Xiamen Road & Bridge Construction Group Co., Ltd.",厦门市路桥建设集团有限公司,Fujian,Investigated,3/24/2015,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116675.html,http://www.ccdi.gov.cn/scdc/sggb/zjsc/201607/t20160704_116675.html,,,,,,,,,,,,,SOE,Construction,,,,,,,,,,,
Liu Shuming,刘书铭,Fly,,Male,,,,,,President,原院长﻿,Leshan Vocational and Technical College,四川省乐山职业技术学院,Sichuan,Investigated,3/24/2015,http://sc.people.com.cn/n/2015/0324/c345167-24261430.html ,,,,,,,,,,,,,,Education,,,,,,,,,,,,
